id,position,surname,name,patronymic,grade,working_hours,moving,willingness_travel,salary,email,user_id,id_resume_status,id_resume_location
ee4c7e9e-57f6-4c75-8b32-5f6f65975b76,Developer,Smith,John,M,Senior,Full-time,true,true,80000,john.smith@email.com,bbd6c526-7a85-4e4a-a893-6e7d991ded22,567d4aed-c772-425b-a067-5aba2f3ee0ef,0fb89c71-ddf6-4032-9509-1fec3b8590d1
1c607b93-2c13-4295-8db7-9f6253d0ff98,Designer,Doe,Jane,,Junior,Part-time,false,false,40000,jane.doe@email.com,d2c9d7f0-acb3-4000-a7ad-637ecc2d6153,b05b61d3-0ab2-4f92-b034-70f83db5b1fa,d8659911-0faa-45fb-96a9-0a8ef536fb65
8c8f8b4e-b145-4e49-8831-5e6766be7b0b,Manager,Johnson,Michael,,Middle,Full-time,true,false,60000,michael.johnson@email.com,2f0dc929-6c9b-4fc2-8a11-6cb9805d2661,567d4aed-c772-425b-a067-5aba2f3ee0ef,d4ff9df8-8e2d-4132-b41c-b5890838bbf5
5577b741-1ac2-4a0a-b8d9-76f9ff04a0c3,Engineer,Taylor,Chris,,Senior,Full-time,true,true,75000,chris.taylor@email.com,e6f464bf-8d6f-468b-9445-73ff4dea3d6d,b05b61d3-0ab2-4f92-b034-70f83db5b1fa,94185233-1cef-436a-8f36-e5e1e6d861fc
f7c6e73f-d7b5-48d5-b512-836054da59a9,Developer,Wilson,Kate,M,Junior,Part-time,false,false,35000,kate.wilson@email.com,e6f464bf-8d6f-468b-9445-73ff4dea3d6d,567d4aed-c772-425b-a067-5aba2f3ee0ef,fa518a46-3a1e-4693-b757-a300376801f9
c6390624-e015-4f0a-a647-83a869573b1c,Designer,Martinez,Linda,,Middle,Full-time,true,true,62000,linda.martinez@email.com,bbd6c526-7a85-4e4a-a893-6e7d991ded22,b05b61d3-0ab2-4f92-b034-70f83db5b1fa,dfb9b143-b100-44d1-8621-d5066f9fcb32
d58f9c69-1a96-48c7-89ca-903c68f5b72d,Manager,Brown,James,,Senior,Full-time,true,true,82000,james.brown@email.com,d2c9d7f0-acb3-4000-a7ad-637ecc2d6153,567d4aed-c772-425b-a067-5aba2f3ee0ef,ffb5140b-3cde-48f2-a1d5-be2e0b3cdb3a
6d3e9f69-5cd2-44cd-b82c-d07a52859b74,Engineer,Davis,Emily,,Junior,Part-time,false,false,39000,emily.davis@email.com,2f0dc929-6c9b-4fc2-8a11-6cb9805d2661,b05b61d3-0ab2-4f92-b034-70f83db5b1fa,b394e2df-a159-4ba9-945d-9127e5c074a3
e4e5f098-e418-4f2f-8df9-b9e2a22b1bfe,Developer,Garcia,David,M,Senior,Full-time,true,true,76000,david.garcia@email.com,e6f464bf-8d6f-468b-9445-73ff4dea3d6d,567d4aed-c772-425b-a067-5aba2f3ee0ef,22418331-3d5a-44cc-a82f-c3197ea5d049
b3c18dbe-e1b5-4c9e-b60d-e1c928f1b8b1,Designer,Lopez,Michelle,,Junior,Part-time,false,true,36000,michelle.lopez@email.com,2f0dc929-6c9b-4fc2-8a11-6cb9805d2661,b05b61d3-0ab2-4f92-b034-70f83db5b1fa,7b653e56-28ec-4cdf-a994-edd629681b4b
